ProductID,ProductName,Season,TotalSales
---------,-----------,------,----------
836,ML Road Frame-W - Yellow, 48,Spring,$99,217.64
915,ML Touring Seat/Saddle,Summer,$986.33
970,Touring-2000 Blue, 46,Autumn,$98,159.88
981,Mountain-400-W Silver, 40,Spring,$98,033.03
782,Mountain-200 Black, 38,Winter,$975,146.75
784,Mountain-200 Black, 46,Spring,$968,070.58
756,Road-450 Red, 44,Winter,$96,227.34
956,Touring-1000 Yellow, 54,Summer,$96,125.70
783,Mountain-200 Black, 42,Summer,$956,631.32
738,LL Road Frame - Black, 52,Spring,$95,831.02
971,Touring-2000 Blue, 50,Spring,$95,487.21
999,Road-750 Black, 52,Winter,$95,362.23
822,ML Road Frame-W - Yellow, 38,Summer,$94,772.64
962,Touring-3000 Yellow, 50,Spring,$94,592.09
997,Road-750 Black, 44,Spring,$94,282.25
836,ML Road Frame-W - Yellow, 48,Summer,$93,766.83
755,Road-450 Red, 60,Winter,$93,602.96
769,Road-650 Black, 48,Spring,$92,040.47
813,HL Road Handlebars,Winter,$918.43
961,Touring-3000 Yellow, 44,Autumn,$91,793.36
747,HL Mountain Frame - Black, 38,Winter,$91,503.60
780,Mountain-200 Silver, 42,Summer,$909,417.62
779,Mountain-200 Silver, 38,Summer,$907,680.15
759,Road-650 Red, 58,Spring,$90,899.54
945,Front Derailleur,Autumn,$9,990.71
712,AWC Logo Cap,Winter,$9,890.93
886,LL Touring Frame - Yellow, 62,Autumn,$9,802.55
817,HL Mountain Front Wheel,Spring,$9,726.97
727,LL Road Frame - Red, 52,Summer,$9,693.54
881,Short-Sleeve Classic Jersey, S,Winter,$9,534.63
804,HL Fork,Winter,$9,500.89
894,Rear Derailleur,Summer,$9,401.00
816,ML Mountain Front Wheel,Spring,$9,280.71
733,ML Road Frame - Red, 52,Autumn,$9,279.35
813,HL Road Handlebars,Autumn,$9,197.37
944,LL Mountain Frame - Silver, 40,Winter,$9,188.94
823,LL Mountain Rear Wheel,Summer,$9,107.93
862,Full-Finger Gloves, M,Winter,$9,087.53
958,Touring-3000 Blue, 54,Spring,$89,531.12
893,HL Touring Frame - Blue, 60,Spring,$86,737.82
977,Road-750 Black, 58,Summer,$86,398.40
885,HL Touring Frame - Yellow, 60,Spring,$85,533.13
970,Touring-2000 Blue, 46,Winter,$85,282.47
981,Mountain-400-W Silver, 40,Summer,$83,760.83
779,Mountain-200 Silver, 38,Autumn,$827,475.61
781,Mountain-200 Silver, 46,Summer,$821,987.97
739,HL Mountain Frame - Silver, 42,Spring,$82,961.84
767,Road-650 Black, 62,Spring,$82,929.83
962,Touring-3000 Yellow, 50,Autumn,$82,549.32
742,HL Mountain Frame - Silver, 46,Winter,$82,391.71
780,Mountain-200 Silver, 42,Autumn,$812,728.96
781,Mountain-200 Silver, 46,Autumn,$811,095.02
977,Road-750 Black, 58,Autumn,$81,970.48
885,HL Touring Frame - Yellow, 60,Summer,$81,791.76
981,Mountain-400-W Silver, 40,Autumn,$81,735.84
980,Mountain-400-W Silver, 38,Spring,$81,565.94
755,Road-450 Red, 60,Spring,$81,355.84
756,Road-450 Red, 44,Spring,$81,355.84
983,Mountain-400-W Silver, 46,Spring,$81,258.14
784,Mountain-200 Black, 46,Summer,$809,740.50
783,Mountain-200 Black, 42,Winter,$809,441.10
897,LL Touring Frame - Blue, 58,Summer,$800.21
961,Touring-3000 Yellow, 44,Summer,$80,992.24
889,HL Touring Frame - Yellow, 54,Autumn,$80,333.68
929,ML Mountain Tire,Autumn,$8,997.00
937,HL Mountain Pedal,Autumn,$8,941.30
827,ML Road Rear Wheel,Summer,$8,922.47
733,ML Road Frame - Red, 52,Summer,$8,922.45
868,Women's Mountain Shorts, M,Winter,$8,916.73
929,ML Mountain Tire,Winter,$8,847.05
996,HL Bottom Bracket,Autumn,$8,820.17
806,ML Headset,Autumn,$8,802.30
879,All-Purpose Bike Stand,Summer,$8,745.00
939,ML Road Pedal,Spring,$8,717.44
870,Water Bottle - 30 oz.,Spring,$8,693.81
858,Half-Finger Gloves, S,Autumn,$8,647.43
815,LL Mountain Front Wheel,Summer,$8,612.98
929,ML Mountain Tire,Spring,$8,607.13
886,LL Touring Frame - Yellow, 62,Winter,$8,602.24
808,LL Mountain Handlebars,Summer,$8,490.79
809,ML Mountain Handlebars,Winter,$8,419.99
806,ML Headset,Spring,$8,414.62
920,LL Mountain Frame - Silver, 52,Winter,$8,396.79
929,ML Mountain Tire,Summer,$8,367.21
939,ML Road Pedal,Summer,$8,344.90
855,Men's Bib-Shorts, S,Winter,$8,270.08
879,All-Purpose Bike Stand,Winter,$8,268.00
860,Half-Finger Gloves, L,Spring,$8,260.48
934,Touring Tire,Spring,$8,146.19
806,ML Headset,Winter,$8,101.37
950,ML Crankset,Summer,$8,002.49
899,LL Touring Frame - Yellow, 44,Winter,$8,002.08
767,Road-650 Black, 62,Summer,$79,490.26
769,Road-650 Black, 48,Winter,$79,490.26
779,Mountain-200 Silver, 38,Winter,$787,353.43
781,Mountain-200 Silver, 46,Winter,$784,538.82
784,Mountain-200 Black, 46,Autumn,$782,088.92
767,Road-650 Black, 62,Autumn,$78,276.63
958,Touring-3000 Blue, 54,Autumn,$78,243.69
793,Road-250 Black, 44,Summer,$775,548.96
759,Road-650 Red, 58,Autumn,$77,991.40
876,Hitch Rack - 4-Bike,Spring,$77,598.67
977,Road-750 Black, 58,Winter,$75,922.59
982,Mountain-400-W Silver, 42,Spring,$75,563.92
876,Hitch Rack - 4-Bike,Summer,$75,353.48
979,Touring-3000 Blue, 50,Summer,$75,092.41
784,Mountain-200 Black, 46,Winter,$749,773.23
893,HL Touring Frame - Blue, 60,Summer,$74,146.18
836,ML Road Frame-W - Yellow, 48,Autumn,$73,520.98
794,Road-250 Black, 48,Summer,$717,324.80
780,Mountain-200 Silver, 42,Winter,$712,759.76
759,Road-650 Red, 58,Winter,$71,912.04
756,Road-450 Red, 44,Autumn,$71,733.11
892,HL Touring Frame - Blue, 54,Autumn,$71,679.17
767,Road-650 Black, 62,Winter,$71,554.10
965,Touring-3000 Yellow, 62,Summer,$71,495.73
769,Road-650 Black, 48,Summer,$71,201.75
997,Road-750 Black, 44,Autumn,$70,522.69
924,LL Mountain Frame - Black, 42,Winter,$7,943.32
907,Rear Brakes,Summer,$7,923.60
757,Road-450 Red, 48,Summer,$7,873.15
723,LL Road Frame - Black, 60,Spring,$7,854.16
940,HL Road Pedal,Autumn,$7,775.04
896,LL Touring Frame - Blue, 54,Autumn,$7,601.98
859,Half-Finger Gloves, M,Winter,$7,591.72
855,Men's Bib-Shorts, S,Autumn,$7,505.17
938,LL Road Pedal,Spring,$7,458.26
933,HL Road Tire,Summer,$7,400.20
849,Men's Sports Shorts, M,Winter,$7,354.13
860,Half-Finger Gloves, L,Summer,$7,200.03
736,LL Road Frame - Black, 44,Autumn,$7,180.55
934,Touring Tire,Winter,$7,160.53
933,HL Road Tire,Autumn,$7,139.40
932,ML Road Tire,Spring,$7,072.17
727,LL Road Frame - Red, 52,Spring,$7,063.23
895,LL Touring Frame - Blue, 50,Winter,$7,001.82
755,Road-450 Red, 60,Autumn,$69,108.73
725,LL Road Frame - Red, 44,Summer,$69,014.49
971,Touring-2000 Blue, 50,Autumn,$68,760.51
769,Road-650 Black, 48,Autumn,$68,214.09
961,Touring-3000 Yellow, 44,Winter,$67,999.26
832,ML Mountain Frame - Black, 48,Summer,$67,902.73
965,Touring-3000 Yellow, 62,Winter,$67,405.38
729,LL Road Frame - Red, 60,Summer,$67,323.83
904,ML Mountain Frame-W - Silver, 40,Spring,$67,283.83
959,Touring-3000 Blue, 58,Spring,$67,080.60
793,Road-250 Black, 44,Spring,$662,332.85
838,HL Road Frame - Black, 44,Autumn,$66,291.46
963,Touring-3000 Yellow, 54,Spring,$66,085.85
719,HL Road Frame - Red, 48,Summer,$65,979.14
958,Touring-3000 Blue, 54,Summer,$65,287.83
997,Road-750 Black, 44,Winter,$65,230.79
822,ML Road Frame-W - Yellow, 38,Autumn,$64,663.43
971,Touring-2000 Blue, 50,Summer,$64,144.08
976,Road-350-W Yellow, 48,Spring,$636,073.64
759,Road-650 Red, 58,Summer,$63,209.66
794,Road-250 Black, 48,Spring,$620,826.19
904,ML Mountain Frame-W - Silver, 40,Summer,$62,937.47
962,Touring-3000 Yellow, 50,Summer,$62,789.82
755,Road-450 Red, 60,Summer,$62,110.37
839,HL Road Frame - Black, 48,Summer,$61,762.72
738,LL Road Frame - Black, 52,Autumn,$61,341.60
980,Mountain-400-W Silver, 38,Autumn,$61,251.40
722,LL Road Frame - Black, 58,Summer,$61,039.44
718,HL Road Frame - Red, 44,Autumn,$60,845.45
959,Touring-3000 Blue, 58,Autumn,$60,427.29
997,Road-750 Black, 44,Summer,$60,262.88
981,Mountain-400-W Silver, 40,Winter,$60,174.12
870,Water Bottle - 30 oz.,Summer,$6,887.45
870,Water Bottle - 30 oz.,Autumn,$6,857.26
933,HL Road Tire,Winter,$6,813.40
896,LL Touring Frame - Blue, 54,Winter,$6,801.77
857,Men's Bib-Shorts, L,Autumn,$6,695.26
808,LL Mountain Handlebars,Spring,$6,681.00
933,HL Road Tire,Spring,$6,617.80
713,Long-Sleeve Logo Jersey, S,Spring,$6,548.69
853,Women's Tights, M,Summer,$6,524.13
948,Front Brakes,Winter,$6,453.90
938,LL Road Pedal,Summer,$6,389.32
931,LL Road Tire,Spring,$6,382.53
910,HL Mountain Seat/Saddle,Summer,$6,253.63
870,Water Bottle - 30 oz.,Winter,$6,215.65
902,LL Touring Frame - Yellow, 58,Summer,$6,201.61
713,Long-Sleeve Logo Jersey, S,Winter,$6,198.76
894,Rear Derailleur,Autumn,$6,194.46
882,Short-Sleeve Classic Jersey, M,Spring,$6,154.86
802,LL Fork,Summer,$6,136.31
819,ML Road Front Wheel,Winter,$6,110.27
934,Touring Tire,Autumn,$6,087.90
858,Half-Finger Gloves, S,Winter,$6,050.13
900,LL Touring Frame - Yellow, 50,Winter,$6,001.56
979,Touring-3000 Blue, 50,Winter,$59,981.88
992,Mountain-500 Black, 48,Spring,$58,966.91
715,Long-Sleeve Logo Jersey, L,Summer,$58,805.37
715,Long-Sleeve Logo Jersey, L,Spring,$58,628.53
717,HL Road Frame - Red, 62,Autumn,$58,535.59
795,Road-250 Black, 52,Summer,$576,805.13
973,Road-350-W Yellow, 40,Spring,$575,616.55
971,Touring-2000 Blue, 50,Winter,$57,826.86
958,Touring-3000 Blue, 54,Winter,$57,012.48
729,LL Road Frame - Red, 60,Spring,$56,321.87
725,LL Road Frame - Red, 44,Spring,$56,149.47
832,ML Mountain Frame - Black, 48,Spring,$56,135.57
795,Road-250 Black, 52,Autumn,$559,125.74
793,Road-250 Black, 44,Autumn,$558,088.19
722,LL Road Frame - Black, 58,Spring,$55,874.71
876,Hitch Rack - 4-Bike,Autumn,$55,481.71
915,ML Touring Seat/Saddle,Autumn,$540.13
825,HL Mountain Rear Wheel,Summer,$54,413.89
802,LL Fork,Winter,$533.59
794,Road-250 Black, 48,Autumn,$533,906.88
795,Road-250 Black, 52,Spring,$532,632.85
756,Road-450 Red, 44,Summer,$53,362.43
983,Mountain-400-W Silver, 46,Autumn,$53,248.71
753,Road-150 Red, 56,Winter,$526,005.69
793,Road-250 Black, 44,Winter,$520,887.32
